Computer Name,Operating System,Model,Serial Number
MCDB-MXL9241R76,Windows 11,Z4 G4 Workstation,MXL9241R76
MCDB-MXL9241R77,Windows 11,Z4 G4 Workstation,MXL9241R77
MCDB-MXL9304528,Windows 11,ProDesk 600 G4 SFF,MXL9304528
MCDB-MXL930452J,Windows 11,ProDesk 600 G4 SFF,MXL930452J
MCDB-MXL9352BCG,Windows 11,ProDesk 600 G4 SFF,MXL9352BCG
MCDB-MXL9352BCH,Windows 11,ProDesk 600 G4 SFF,MXL9352BCH
MCDB-MXL94634SV,Windows 11,ProDesk 600 G5 SFF,MXL94634SV
MCDB-STOCKBRL4W,Windows 10,EliteDesk 800 65W G2 Desktop Mini,2UA6272KF0
MCDB-SURFPROX,Windows 10,,
MCDB-USH721L12N,Windows 10,Z240 SFF Workstation,USH721L12N
MCDB-VMPUNAL,Windows 11,ZBook Studio G5 Mobile Workstation,5CD936FHPS
UMBS-39WV5X3,Windows 11,,
UMBS-39Z9KQ3,Windows 11,OptiPlex 5000,39Z9KQ3
UMBS-63VNBM2,Windows 11,Alienware Aurora R7,63VNBM2
UMBS-68Z9KQ3,Windows 11,OptiPlex 5000,68Z9KQ3
UMBS-6YFS5J3,Windows 11,Latitude 5420,6YFS5J3
UMBS-9F773J3,Windows 11,Latitude 5420,9F773J3
UMBS-ADMIN-SHOP,Windows 11,ProDesk 600 G4 SFF,MXL92026SQ
UMBS-ASCHUBEL,Windows 11,EliteBook 840 G5,5CG9136FGG
UMBS-HW8D6J3,Windows 11,,
UMBS-J63CDK3,Windows 10,Latitude 9430,J63CDK3
UMBS-JDRQKQ3,Windows 11,Precision 3460 SFF,JDRQKQ3
UMBS-LAB-02,Windows 10,EliteDesk 800 G1 USDT,2UA5060XJP
UMBS-LIBRARY-L1,Windows 10,EliteBook 840 G3,5CG7254YB2
UMBS-LISAUMBS,Windows 11,ProDesk 600 G4 SFF,MXL915527Y
UMBS-MXL0082MXZ,Windows 11,,
UMBS-MXL91245RK,Windows 11,EliteDesk 800 35W G4 Desktop Mini,MXL91245RK
UMBS-MXL91245RM,Windows 11,,
UMBS-MXL94237LK,Windows 11,ProDesk 600 G4 SFF,MXL94237LK
UMMA-2UA7161QLR,Windows 10,EliteDesk 800 35W G2 Desktop Mini,2UA7161QLR
UMMA-4QRH9R3,Windows 11,Precision 3460 SFF,4QRH9R3
UMMA-5CG827319S,Windows 10,EliteBook 840 G3,5CG827319S
UMMA-76F1BR3,Windows 11,Precision 3660 Tower,76F1BR3
UMMA-AVENMIL01,Windows 10,Z4 G4 Workstation,MXL9323ZFG
